mark_id,student_id,subject_code,subject_name,marks_obtained,grade
1,SI01,EN,English,82,A
2,SI01,CO,Computer,58,D
3,SI01,HI,History,49,E
4,SI01,MA,Maths,35,F
5,SI01,SC,Science,72,B
6,SI02,EN,English,37,F
7,SI02,CO,Computer,62,C
8,SI02,HI,History,92,A
9,SI02,MA,Maths,64,C
10,SI02,SC,Science,94,A
11,SI03,EN,English,73,B
12,SI03,CO,Computer,80,A
13,SI03,HI,History,45,E
14,SI03,MA,Maths,72,B
15,SI03,SC,Science,45,E
16,SI04,EN,English,61,C
17,SI04,CO,Computer,41,E
18,SI04,HI,History,71,B
19,SI04,MA,Maths,55,D
20,SI04,SC,Science,66,C
21,SI05,EN,English,51,D
22,SI05,CO,Computer,65,C
23,SI05,HI,History,98,A
24,SI05,MA,Maths,42,E
25,SI05,SC,Science,82,A
26,SI06,EN,English,82,A
27,SI06,CO,Computer,57,D
28,SI06,HI,History,53,D
29,SI06,MA,Maths,38,F
30,SI06,SC,Science,63,C
31,SI07,EN,English,30,F
32,SI07,CO,Computer,59,D
33,SI07,HI,History,56,D
34,SI07,MA,Maths,48,E
35,SI07,SC,Science,53,D
36,SI08,EN,English,58,D
37,SI08,CO,Computer,75,B
38,SI08,HI,History,90,A
39,SI08,MA,Maths,50,D
40,SI08,SC,Science,41,E
41,SI09,EN,English,63,C
42,SI09,CO,Computer,51,D
43,SI09,HI,History,61,C
44,SI09,MA,Maths,59,D
45,SI09,SC,Science,91,A
46,SI10,EN,English,78,B
47,SI10,CO,Computer,96,A
48,SI10,HI,History,92,A
49,SI10,MA,Maths,74,B
50,SI10,SC,Science,32,F
51,SI11,EN,English,58,D
52,SI11,CO,Computer,51,D
53,SI11,HI,History,58,D
54,SI11,MA,Maths,41,E
55,SI11,SC,Science,68,C
56,SI12,EN,English,96,A
57,SI12,CO,Computer,39,F
58,SI12,HI,History,84,A
59,SI12,MA,Maths,44,E
60,SI12,SC,Science,94,A
61,SI13,EN,English,80,A
62,SI13,CO,Computer,60,C
63,SI13,HI,History,78,B
64,SI13,MA,Maths,55,D
65,SI13,SC,Science,60,C
66,SI14,EN,English,65,C
67,SI14,CO,Computer,84,A
68,SI14,HI,History,92,A
69,SI14,MA,Maths,90,A
70,SI14,SC,Science,38,F
71,SI15,EN,English,77,B
72,SI15,CO,Computer,78,B
73,SI15,HI,History,49,E
74,SI15,MA,Maths,84,A
75,SI15,SC,Science,43,E
76,SI16,EN,English,87,A
77,SI16,CO,Computer,53,D
78,SI16,HI,History,94,A
79,SI16,MA,Maths,50,D
80,SI16,SC,Science,76,B
81,SI17,EN,English,50,D
82,SI17,CO,Computer,85,A
83,SI17,HI,History,69,C
84,SI17,MA,Maths,46,E
85,SI17,SC,Science,54,D
86,SI18,EN,English,65,C
87,SI18,CO,Computer,54,D
88,SI18,HI,History,81,A
89,SI18,MA,Maths,44,E
90,SI18,SC,Science,82,A
91,SI19,EN,English,64,C
92,SI19,CO,Computer,46,E
93,SI19,HI,History,58,D
94,SI19,MA,Maths,86,A
95,SI19,SC,Science,90,A
96,SI20,EN,English,34,F
97,SI20,CO,Computer,86,A
98,SI20,HI,History,93,A
99,SI20,MA,Maths,34,F
100,SI20,SC,Science,51,D
101,SI21,EN,English,94,A
102,SI21,CO,Computer,93,A
103,SI21,HI,History,69,C
104,SI21,MA,Maths,98,A
105,SI21,SC,Science,44,E
106,SI22,EN,English,36,F
107,SI22,CO,Computer,70,B
108,SI22,HI,History,66,C
109,SI22,MA,Maths,43,E
110,SI22,SC,Science,68,C
111,SI23,EN,English,99,A
112,SI23,CO,Computer,85,A
113,SI23,HI,History,59,D
114,SI23,MA,Maths,57,D
115,SI23,SC,Science,74,B
116,SI24,EN,English,55,D
117,SI24,CO,Computer,34,F
118,SI24,HI,History,68,C
119,SI24,MA,Maths,96,A
120,SI24,SC,Science,45,E
121,SI25,EN,English,56,D
122,SI25,CO,Computer,46,E
